DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 t25c0211.enh.wav	 1.589	 0.000	 0	 16000	0.0040
 t25c0212.enh.wav	 1.877	 0.000	 0	 16000	0.0040
 t25c0213.enh.wav	 1.997	 0.000	 0	 16000	0.0000
 t25c0214.enh.wav	 1.950	 0.000	 0	 16000	-0.0040
 t25c0215.enh.wav	 1.806	 0.000	 0	 16000	0.0040
 t36c0205.enh.wav	 1.716	 0.000	 0	 16000	0.0040
 t36c0209.enh.wav	 2.012	 0.000	 0	 16000	0.0000
 t36c020a.enh.wav	 2.124	 0.000	 0	 16000	0.0000
 t36c020b.enh.wav	 1.685	 0.000	 0	 16000	0.0000
 t36c020c.enh.wav	 1.936	 0.000	 0	 16000	0.0040
 t36c020d.enh.wav	 1.886	 0.000	 0	 16000	0.0000
 t36c020e.enh.wav	 1.542	 0.000	 0	 16000	0.0000
 t36c020f.enh.wav	 1.719	 0.000	 0	 16000	0.0000
 t36c020h.enh.wav	 1.935	 0.000	 0	 16000	0.0000
 t36c020i.enh.wav	 1.799	 0.000	 0	 16000	0.0040
 t36c020l.enh.wav	 1.499	 0.000	 0	 16000	0.0040
 t36c020m.enh.wav	 1.847	 0.000	 0	 16000	0.0080
 t36c020o.enh.wav	 1.521	 0.000	 0	 16000	0.0040
 t36c020p.enh.wav	 1.469	 0.000	 0	 16000	0.0160
 t36c020r.enh.wav	 1.421	 0.000	 0	 16000	0.0160
 t36c020s.enh.wav	 2.054	 0.000	 0	 16000	0.0040
 t36c020t.enh.wav	 1.622	 0.000	 0	 16000	0.0000
 t36c020u.enh.wav	 1.778	 0.000	 0	 16000	0.0040
 t36c020w.enh.wav	 1.895	 0.000	 0	 16000	0.0000
 t36c020x.enh.wav	 1.667	 0.000	 0	 16000	0.0040
 t36c020y.enh.wav	 1.750	 0.000	 0	 16000	0.0000
 t36c020z.enh.wav	 1.514	 0.000	 0	 16000	0.0080
 t36c0210.enh.wav	 1.651	 0.000	 0	 16000	0.0040
 t36c0211.enh.wav	 1.371	 0.000	 0	 16000	0.0080
 t36c0212.enh.wav	 1.271	 0.000	 0	 16000	0.0120
 t36c0213.enh.wav	 1.780	 0.000	 0	 16000	0.0000
 t36c0214.enh.wav	 1.279	 0.000	 0	 16000	0.0120
 t37c0203.enh.wav	 1.439	 0.000	 0	 16000	0.0040
 t37c0206.enh.wav	 1.614	 0.000	 0	 16000	0.0040
 t37c0208.enh.wav	 2.035	 0.000	 0	 16000	0.0000
 t37c020b.enh.wav	 2.077	 0.000	 0	 16000	0.0040
 t37c020c.enh.wav	 1.894	 0.000	 0	 16000	-0.0040
 t37c020d.enh.wav	 1.559	 0.000	 0	 16000	0.0040
 t37c020e.enh.wav	 1.697	 0.000	 0	 16000	0.0040
 t37c020f.enh.wav	 2.036	 0.000	 0	 16000	-0.0040
 t37c020k.enh.wav	 2.070	 0.000	 0	 16000	-0.0040
 t37c020m.enh.wav	 2.256	 0.000	 0	 16000	0.0040
 t37c020o.enh.wav	 2.004	 0.000	 0	 16000	0.0040
 t37c020q.enh.wav	 1.833	 0.000	 0	 16000	0.0040
 t37c020s.enh.wav	 2.022	 0.000	 0	 16000	0.0000
 t37c020t.enh.wav	 1.976	 0.000	 0	 16000	0.0040
 t37c020u.enh.wav	 2.219	 0.000	 0	 16000	0.0000
 t37c020v.enh.wav	 2.154	 0.000	 0	 16000	0.0000
 t37c020w.enh.wav	 1.681	 0.000	 0	 16000	0.0040
 t37c020x.enh.wav	 2.160	 0.000	 0	 16000	-0.0040
 t37c020y.enh.wav	 1.867	 0.000	 0	 16000	0.0040
 t37c020z.enh.wav	 2.180	 0.000	 0	 16000	-0.0040
 t37c0210.enh.wav	 1.982	 0.000	 0	 16000	-0.0040
 t37c0212.enh.wav	 2.226	 0.000	 0	 16000	-0.0040
 t37c0213.enh.wav	 1.848	 0.000	 0	 16000	0.0120
 t38c020n.enh.wav	 1.770	 0.000	 0	 16000	0.0040
 t38c020t.enh.wav	 1.938	 0.000	 0	 16000	0.0040
 t38c020u.enh.wav	 2.294	 0.000	 0	 16000	0.0040
 t38c020v.enh.wav	 1.789	 0.000	 0	 16000	0.0040
 t38c020w.enh.wav	 2.088	 0.000	 0	 16000	0.0040
 t38c020x.enh.wav	 2.106	 0.000	 0	 16000	-0.0080
 t38c020y.enh.wav	 2.091	 0.000	 0	 16000	0.0040
 t38c020z.enh.wav	 1.529	 0.000	 0	 16000	0.0080
 t38c0210.enh.wav	 2.260	 0.000	 0	 16000	0.0000
 t38c0211.enh.wav	 1.546	 0.000	 0	 16000	0.0040
 t38c0212.enh.wav	 1.461	 0.000	 0	 16000	0.0040
 t38c0214.enh.wav	 2.258	 0.000	 0	 16000	0.0040
 t39c020t.enh.wav	 1.669	 0.000	 0	 16000	0.0040
 t39c020u.enh.wav	 1.796	 0.000	 0	 16000	0.0120
 t39c020v.enh.wav	 1.639	 0.000	 0	 16000	0.0040
 t39c020x.enh.wav	 1.463	 0.000	 0	 16000	0.0080
 t39c020y.enh.wav	 1.422	 0.000	 0	 16000	0.0080
 t39c020z.enh.wav	 1.763	 0.000	 0	 16000	0.0040
 t39c0210.enh.wav	 1.509	 0.000	 0	 16000	0.0040
 t39c0211.enh.wav	 1.632	 0.000	 0	 16000	0.0040
 t39c0212.enh.wav	 1.224	 0.000	 0	 16000	0.0160
 t39c0213.enh.wav	 1.402	 0.000	 0	 16000	0.0120
 t39c0214.enh.wav	 1.609	 0.000	 0	 16000	0.0000
 t40c020t.enh.wav	 1.930	 0.000	 0	 16000	-0.0040
 t40c020u.enh.wav	 1.316	 0.000	 0	 16000	-0.0040
 t40c020v.enh.wav	 1.428	 0.000	 0	 16000	0.0000
 t40c020w.enh.wav	 1.599	 0.000	 0	 16000	-0.0040
 t40c020x.enh.wav	 1.843	 0.000	 0	 16000	0.0040
 t40c020y.enh.wav	 1.950	 0.000	 0	 16000	-0.0040
 t40c020z.enh.wav	 1.806	 0.000	 0	 16000	0.0000
 t40c0210.enh.wav	 1.631	 0.000	 0	 16000	0.0040
 t40c0211.enh.wav	 1.926	 0.000	 0	 16000	0.0000
 t40c0213.enh.wav	 1.832	 0.000	 0	 16000	0.0000
 t40c0214.enh.wav	 1.668	 0.000	 0	 16000	0.0000
 
