REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 cut_data/Real/cln_et/t37c020p.wav	 workspace/enh_wavs/test2/real/t37c020p.enh.wav	 SQValue=1.782	 1.782	 0.000	 0	 16000	0.0120
 cut_data/Real/cln_et/t37c020r.wav	 workspace/enh_wavs/test2/real/t37c020r.enh.wav	 SQValue=1.860	 1.860	 0.000	 0	 16000	0.0120
 cut_data/Real/cln_et/t38c0201.wav	 workspace/enh_wavs/test2/real/t38c0201.enh.wav	 SQValue=2.117	 2.117	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t38c0202.wav	 workspace/enh_wavs/test2/real/t38c0202.enh.wav	 SQValue=2.225	 2.225	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t38c0203.wav	 workspace/enh_wavs/test2/real/t38c0203.enh.wav	 SQValue=2.085	 2.085	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t38c0204.wav	 workspace/enh_wavs/test2/real/t38c0204.enh.wav	 SQValue=2.053	 2.053	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t38c0205.wav	 workspace/enh_wavs/test2/real/t38c0205.enh.wav	 SQValue=1.907	 1.907	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t38c0206.wav	 workspace/enh_wavs/test2/real/t38c0206.enh.wav	 SQValue=1.984	 1.984	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t38c0207.wav	 workspace/enh_wavs/test2/real/t38c0207.enh.wav	 SQValue=1.882	 1.882	 0.000	 0	 16000	-0.0040
 cut_data/Real/cln_et/t38c0208.wav	 workspace/enh_wavs/test2/real/t38c0208.enh.wav	 SQValue=1.878	 1.878	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t38c0209.wav	 workspace/enh_wavs/test2/real/t38c0209.enh.wav	 SQValue=2.270	 2.270	 0.000	 0	 16000	0.0040
 cut_data/Real/cln_et/t38c020a.wav	 workspace/enh_wavs/test2/real/t38c020a.enh.wav	 SQValue=2.326	 2.326	 0.000	 0	 16000	0.0040
 cut_data/Real/cln_et/t38c020b.wav	 workspace/enh_wavs/test2/real/t38c020b.enh.wav	 SQValue=2.405	 2.405	 0.000	 0	 16000	0.0040
 cut_data/Real/cln_et/t38c020c.wav	 workspace/enh_wavs/test2/real/t38c020c.enh.wav	 SQValue=2.353	 2.353	 0.000	 0	 16000	0.0040
 cut_data/Real/cln_et/t38c020d.wav	 workspace/enh_wavs/test2/real/t38c020d.enh.wav	 SQValue=2.175	 2.175	 0.000	 0	 16000	-0.0080
 cut_data/Real/cln_et/t38c020e.wav	 workspace/enh_wavs/test2/real/t38c020e.enh.wav	 SQValue=2.043	 2.043	 0.000	 0	 16000	0.0040
 cut_data/Real/cln_et/t38c020f.wav	 workspace/enh_wavs/test2/real/t38c020f.enh.wav	 SQValue=1.962	 1.962	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t38c020h.wav	 workspace/enh_wavs/test2/real/t38c020h.enh.wav	 SQValue=2.046	 2.046	 0.000	 0	 16000	0.0160
 cut_data/Real/cln_et/t38c020i.wav	 workspace/enh_wavs/test2/real/t38c020i.enh.wav	 SQValue=1.924	 1.924	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t38c020j.wav	 workspace/enh_wavs/test2/real/t38c020j.enh.wav	 SQValue=1.655	 1.655	 0.000	 0	 16000	0.0120
 cut_data/Real/cln_et/t38c020k.wav	 workspace/enh_wavs/test2/real/t38c020k.enh.wav	 SQValue=1.852	 1.852	 0.000	 0	 16000	0.0160
 cut_data/Real/cln_et/t38c020l.wav	 workspace/enh_wavs/test2/real/t38c020l.enh.wav	 SQValue=2.016	 2.016	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t38c020m.wav	 workspace/enh_wavs/test2/real/t38c020m.enh.wav	 SQValue=1.960	 1.960	 0.000	 0	 16000	0.0120
 cut_data/Real/cln_et/t38c020o.wav	 workspace/enh_wavs/test2/real/t38c020o.enh.wav	 SQValue=2.030	 2.030	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t38c020r.wav	 workspace/enh_wavs/test2/real/t38c020r.enh.wav	 SQValue=1.949	 1.949	 0.000	 0	 16000	0.0040
 cut_data/Real/cln_et/t38c020s.wav	 workspace/enh_wavs/test2/real/t38c020s.enh.wav	 SQValue=1.430	 1.430	 0.000	 0	 16000	0.0040
 cut_data/Real/cln_et/t39c0201.wav	 workspace/enh_wavs/test2/real/t39c0201.enh.wav	 SQValue=1.410	 1.410	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t39c0202.wav	 workspace/enh_wavs/test2/real/t39c0202.enh.wav	 SQValue=1.494	 1.494	 0.000	 0	 16000	0.0040
 cut_data/Real/cln_et/t39c0203.wav	 workspace/enh_wavs/test2/real/t39c0203.enh.wav	 SQValue=1.230	 1.230	 0.000	 0	 16000	0.0120
 cut_data/Real/cln_et/t39c0204.wav	 workspace/enh_wavs/test2/real/t39c0204.enh.wav	 SQValue=1.193	 1.193	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t39c0205.wav	 workspace/enh_wavs/test2/real/t39c0205.enh.wav	 SQValue=1.579	 1.579	 0.000	 0	 16000	0.0000
